Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996]
Ethiopia,ETH,"Population, total",SP.POP.TOTL,114963583,112078727,109224410,106399926,103603461,100835453,98094264,95385793,92726982,90139928,87639962,85233923,82916236,80674343,78489205,76346310,74239508,72170581,70142090,68159422,66224809,64343008,62507724,60697443,58883531
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.54138646419898,2.57969708764895,2.61996917105787,2.66341448153029,2.70807265338359,2.75611161556288,2.79992468847357,2.82701488481635,2.82962796762188,2.81261373694903,2.78375692665143,2.75686184814357,2.74102992691886,2.74594947094516,2.7681398970847,2.79832391369543,2.82639638125662,2.85094556723912,2.86736393776995,2.87942513913923,2.88268786967519,2.89381392435297,2.93885611342521,3.0340129920356,3.16700710624698
Ethiopia,ETH,Surface area (sq. km),AG.SRF.TOTL.K2,..,..,1136259.41,1136255.762,1136257.692,1136260.912,1136262.415,1136262.415,1136265.636,1136264.777,1136264.131,1136263.489,1136264.348,1136266.279,1136271.646,1136271.43,1136268.641,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300
Ethiopia,ETH,Population density (people per sq. km of land area),EN.POP.DNST,101.800711323583,99.2461598282101,96.7186507391537,94.21926014294,91.7409815444749,89.2923683459568,86.8686577882268,84.4710832872732,82.1167304937433,79.8257902665678,77.6087666681226,75.4769442260609,73.4244999329019,71.438280839387,69.5016453275475,67.6039211946276,65.7414797928515,72.170581,70.14209,68.159422,66.224809,64.343008,62.507724,60.697443,58.883531
Ethiopia,ETH,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,23.5,..,..,..,..,29.6,..,..,..,..,..,38.7,..,..,..,..,44.2,..,..,..
Ethiopia,ETH,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,30.8,..,..,..,..,35.6,..,..,..,..,..,38.5,..,..,..,..,57.8,..,..,..
Ethiopia,ETH,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,102666247648.049,94972317026.588,86862198769.1083,78378593589.7494,68942747989.1675,60070079523.1626,53613560417.0118,44574863493.5552,38143234738.8908,35237153539.824,33247716569.7411,28930389370.8786,23011340074.888,17783871681.3498,14407106797.3316,12291510934.1238,10032643822.7899,8231634992.17292,8244554537.35119,8565169694.41642,8282808160.47557,8003894080.0815,7969964500.66197,8749819777.23462,8709379048.9475
Ethiopia,ETH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,890,850,800,740,670,600,550,470,410,390,380,340,280,220,180,160,140,110,120,130,130,120,130,140,150
Ethiopia,ETH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,276923943825.447,257906028371.58,234218235015.117,213816795462.579,194015690748.877,166439908210.722,148077638928.901,122160005499.923,112283157655.966,102066933556.261,89796448911.6437,79048767482.7019,72249612441.5316,63968631877.5163,55711548424.7134,48770743846.4353,42154715213.6429,36093154300.3468,36248494909.3414,35172862661.8035,31745637944.1051,29292652453.1629,27413036840.9561,28001808678.0438,26836796665.5994
Ethiopia,ETH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2410,2300,2140,2010,1870,1650,1510,1280,1210,1130,1020,930,870,790,710,640,570,500,520,520,480,460,440,460,460
Ethiopia,ETH,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,7.3,..,..,..,..,8,..,..,..,..,..,9.4,..,..,..,..,9.1,..,..,..
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,66.597,66.24,65.872,65.482,65.048,64.547,63.961,63.281,62.505,61.627,60.645,59.581,58.467,57.334,56.223,55.174,54.211,53.349,52.595,51.941,51.366,50.835,50.32,49.81
Ethiopia,ETH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,4.146,4.247,4.35,4.456,4.565,4.675,4.787,4.901,5.017,5.136,5.26,5.39,5.526,5.667,5.812,5.961,6.112,6.262,6.407,6.543,6.664,6.769,6.858,6.931
Ethiopia,ETH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,63.4226,65.0748,66.727,68.9772,71.2274,73.4776,75.7278,77.978,79.707,81.436,83.165,84.894,86.623,90.5082,94.3934,98.2786,102.1638,106.049,108.3464,110.6438,112.9412,115.2386,117.536,117.5636
Ethiopia,ETH,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,41.4,40.1,36.6,35.9,37,42,..,..,28.6,..,..,..,..,..,14.7,..,..,..,..,8.1,..,..,3.3,..
Ethiopia,ETH,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,27.7,..,15.5,23.1,..,10,..,..,..,..,..,5.7,6.4,..,..,..,5.6,..,6.5,..,..
Ethiopia,ETH,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,50.7,53.1,55.8,58.9,62.2,65.8,69.5,73.4,77.6,82,86.7,91.7,97.1,102.8,108.8,115.2,121.6,128,134.3,140.3,146.2,152.1,158.1,164.4
Ethiopia,ETH,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,21.1,..,..,23.5,..,26.5,..,..,29.2,..,..,..,..,..,34.3,..,..,..,..,41.8,..,..,..,..
Ethiopia,ETH,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,58,55,59,57,56,54,55,62,68,64,59,54,49,44,40,35,35,36,35,36,37,44,51,54
Ethiopia,ETH,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,68.0842895507813,67.7402114868164,..,63.6895599365234,61.5791511535645,54.1109008789063,53.3883285522461,53.3295707702637,50.3079681396484,52.5476303100586,57.7027397155762,51.3595085144043,49.4527893066406,47.2925186157227,47.1911392211914,43.4614791870117,37.6991691589355,34.9263305664063,31.6078491210938,27.7443103790283,22.315559387207,19.816370010376,17.1501407623291,..,14.9421901702881
